fir_number,date,district,area,crime_type,sections,modus_operandi,status,is_synthetic
FIR-2025-CHI-0664,2025-10-22,Chickballapura,Rattan Chowk,Cyber Fraud,IT Act 66D,courier scam,convicted,True
FIR-2024-BAG-0665,2024-11-01,Bagalkot,Rastogi Path,Cheating,BNS 318,investment ponzi scheme,convicted,True
FIR-2024-BEL-0666,2024-05-22,Belagavi,Deol Street,Murder,BNS 103,gang rivalry,convicted,True
FIR-2024-BEL-0667,2024-02-14,Belagavi,Magar Zila,Theft,BNS 303,vehicle theft from parking,closed,True
FIR-2025-HAS-0668,2025-04-16,Hassan,Ghosh Chowk,Rioting,BNS 191,protest escalation,convicted,True
FIR-2024-HAS-0669,2024-10-14,Hassan,Sampath Path,Extortion,BNS 308,protection money demand,closed,True
FIR-2024-VIJ-0670,2024-03-02,Vijayapur,Kanda Chowk,Extortion,BNS 308,digital arrest threat call,court-pending,True
FIR-2024-KAL-0671,2024-04-18,Kalaburagi,Rajan Road,NDPS,NDPS Act 20,courier parcel concealment,closed,True
FIR-2024-DAK-0672,2024-03-11,Dakshina Kannada,Deshpande Marg,Burglary,BNS 331,terrace entry,closed,True
FIR-2024-CHI-0673,2024-07-10,Chickballapura,Maharaj Road,Burglary,BNS 331,night house-break via rear entry,charge-sheeted,True
FIR-2025-KOL-0674,2025-03-17,Kolar,Bhat Chowk,NDPS,NDPS Act 20,courier parcel concealment,under-investigation,True
FIR-2025-CHI-0675,2025-09-14,Chickballapura,Maharaj Road,NDPS,NDPS Act 20,street-level peddling,under-investigation,True
FIR-2025-DAV-0676,2025-08-12,Davanagere,Mani Road,Murder,BNS 103,personal enmity,under-investigation,True
FIR-2025-VIJ-0677,2025-05-22,Vijayapur,Ram Zila,Theft,BNS 303,shop till theft,convicted,True
FIR-2025-CHI-0678,2025-12-18,Chickballapura,Chaudry Nagar,NDPS,NDPS Act 20,hostel network supply,convicted,True
FIR-2025-DAK-0679,2025-03-14,Dakshina Kannada,Deshpande Marg,Chain Snatching,BNS 304,two-wheeler drive-by snatching,closed,True
FIR-2024-MYS-0680,2024-04-22,Mysuru,Keer,Extortion,BNS 308,digital arrest threat call,court-pending,True
FIR-2024-BAG-0681,2024-12-09,Bagalkot,Rastogi Path,Theft,BNS 303,pickpocketing in transit,convicted,True
FIR-2024-KOL-0682,2024-10-03,Kolar,Dhawan Street,Robbery,BNS 309,ATM-exit targeting,convicted,True
FIR-2025-BEL-0683,2025-01-21,Belagavi,Deol Street,Cyber Fraud,IT Act 66D,courier scam,convicted,True
FIR-2024-SHI-0684,2024-10-09,Shivamogga,Dewan Chowk,Cheating,BNS 318,land document forgery,closed,True
FIR-2024-SHI-0685,2024-06-15,Shivamogga,Sachdev Circle,Chain Snatching,BNS 304,two-wheeler drive-by snatching,convicted,True
FIR-2024-DAV-0686,2024-02-21,Davanagere,Mani Road,Murder,BNS 103,property dispute,charge-sheeted,True
FIR-2024-TUM-0687,2024-07-20,Tumakuru,Sahota,Chain Snatching,BNS 304,two-wheeler drive-by snatching,closed,True
FIR-2025-SHI-0688,2025-09-03,Shivamogga,Dewan Chowk,Theft,BNS 303,pickpocketing in transit,court-pending,True
FIR-2024-DHA-0689,2024-05-18,Dharwad,Venkatesh Marg,Theft,BNS 303,vehicle theft from parking,charge-sheeted,True
FIR-2025-HAS-0690,2025-12-11,Hassan,Ganesan Marg,Robbery,BNS 309,highway vehicle stop,charge-sheeted,True
FIR-2024-BAL-0691,2024-11-05,Ballari,Contractor Zila,Robbery,BNS 309,highway vehicle stop,court-pending,True
FIR-2025-BAG-0692,2025-06-14,Bagalkot,Kashyap Circle,Extortion,BNS 308,digital arrest threat call,under-investigation,True
FIR-2024-KOL-0693,2024-05-04,Kolar,Dhawan Street,Murder,BNS 103,gang rivalry,convicted,True
FIR-2025-SHI-0694,2025-10-05,Shivamogga,Sachdev Circle,Theft,BNS 303,pickpocketing in transit,convicted,True
FIR-2024-BAL-0695,2024-04-09,Ballari,Arya Road,NDPS,NDPS Act 20,courier parcel concealment,court-pending,True
FIR-2024-BAG-0696,2024-09-23,Bagalkot,Kashyap Circle,NDPS,NDPS Act 20,hostel network supply,charge-sheeted,True
FIR-2024-BEL-0697,2024-10-23,Belagavi,Banik Street,Theft,BNS 303,shop till theft,charge-sheeted,True
FIR-2024-BEN-0698,2024-05-31,Bengaluru City,Jayaraman Nagar,Cheating,BNS 318,land document forgery,charge-sheeted,True
FIR-2025-KOL-0699,2025-05-30,Kolar,Rau Nagar,Chain Snatching,BNS 304,two-wheeler drive-by snatching,court-pending,True
FIR-2024-CHI-0700,2024-03-10,Chickballapura,Maharaj Road,Cheating,BNS 318,land document forgery,closed,True
FIR-2024-BAL-0701,2024-06-11,Ballari,Ramakrishnan Path,Murder,BNS 103,property dispute,court-pending,True
FIR-2024-TUM-0702,2024-04-27,Tumakuru,Kala Ganj,Robbery,BNS 309,ATM-exit targeting,convicted,True
FIR-2025-DAV-0703,2025-07-23,Davanagere,Keer Street,Rioting,BNS 191,protest escalation,charge-sheeted,True
FIR-2024-KAL-0704,2024-07-27,Kalaburagi,Butala Nagar,Robbery,BNS 309,highway vehicle stop,charge-sheeted,True
FIR-2024-UDU-0705,2024-03-09,Udupi,Talwar Marg,Rioting,BNS 191,communal flashpoint clash,court-pending,True
FIR-2025-RAI-0706,2025-09-07,Raichur,Dugal Street,Murder,BNS 103,property dispute,under-investigation,True
FIR-2025-BAL-0707,2025-08-12,Ballari,Contractor Zila,NDPS,NDPS Act 20,street-level peddling,charge-sheeted,True
FIR-2024-DHA-0708,2024-12-12,Dharwad,Tella Circle,Murder,BNS 103,personal enmity,under-investigation,True
FIR-2025-TUM-0709,2025-09-04,Tumakuru,Kala Ganj,Cheating,BNS 318,fake job placement racket,closed,True
FIR-2024-UDU-0710,2024-02-23,Udupi,Badami Circle,Burglary,BNS 331,lock-picking daytime entry,charge-sheeted,True
FIR-2024-BAL-0711,2024-08-31,Ballari,Ramakrishnan Path,Murder,BNS 103,personal enmity,court-pending,True
FIR-2024-KAL-0712,2024-02-28,Kalaburagi,Bhatia Chowk,Burglary,BNS 331,terrace entry,closed,True
FIR-2024-RAI-0713,2024-03-19,Raichur,Savant Ganj,Robbery,BNS 309,ATM-exit targeting,charge-sheeted,True
FIR-2025-BAL-0714,2025-07-18,Ballari,Contractor Zila,Cyber Fraud,IT Act 66D,UPI phishing call,charge-sheeted,True
FIR-2024-BEL-0715,2024-08-03,Belagavi,Deol Street,NDPS,NDPS Act 20,street-level peddling,convicted,True
FIR-2024-UDU-0716,2024-10-11,Udupi,Basu Chowk,Theft,BNS 303,vehicle theft from parking,convicted,True
FIR-2025-MYS-0717,2025-03-30,Mysuru,Babu Road,Cheating,BNS 318,investment ponzi scheme,under-investigation,True
FIR-2025-VIJ-0718,2025-08-28,Vijayapur,Kanda Chowk,Theft,BNS 303,pickpocketing in transit,charge-sheeted,True
FIR-2025-KOL-0719,2025-08-09,Kolar,Bhat Chowk,Cheating,BNS 318,fake job placement racket,under-investigation,True
FIR-2024-BAL-0720,2024-03-28,Ballari,Contractor Zila,Theft,BNS 303,shop till theft,charge-sheeted,True
FIR-2024-BAG-0721,2024-07-02,Bagalkot,Rastogi Path,Theft,BNS 303,shop till theft,convicted,True
FIR-2024-RAI-0722,2024-03-22,Raichur,Dugal Street,Rioting,BNS 191,protest escalation,closed,True
FIR-2025-MYS-0723,2025-11-02,Mysuru,Babu Road,Chain Snatching,BNS 304,two-wheeler drive-by snatching,under-investigation,True
FIR-2024-DAV-0724,2024-09-22,Davanagere,Singhal Nagar,Murder,BNS 103,property dispute,court-pending,True
FIR-2025-VIJ-0725,2025-06-07,Vijayapur,Walia Nagar,Robbery,BNS 309,ATM-exit targeting,court-pending,True
FIR-2025-MAN-0726,2025-02-21,Mandya,Dhawan Chowk,Cyber Fraud,IT Act 66D,OTP social engineering,closed,True
FIR-2024-KOL-0727,2024-11-16,Kolar,Bhat Chowk,Burglary,BNS 331,lock-picking daytime entry,closed,True
FIR-2025-KOL-0728,2025-09-13,Kolar,Rau Nagar,Robbery,BNS 309,knife-point street robbery,charge-sheeted,True
FIR-2024-BEL-0729,2024-08-24,Belagavi,Sabharwal Ganj,Cyber Fraud,IT Act 66D,courier scam,charge-sheeted,True
FIR-2025-DHA-0730,2025-07-04,Dharwad,Venkatesh Marg,Chain Snatching,BNS 304,market crowd snatching,court-pending,True
FIR-2024-DAK-0731,2024-01-16,Dakshina Kannada,Sankaran Chowk,Extortion,BNS 308,digital arrest threat call,charge-sheeted,True
FIR-2024-RAI-0732,2024-05-10,Raichur,Savant Ganj,Cyber Fraud,IT Act 66D,UPI phishing call,convicted,True
FIR-2025-DHA-0733,2025-10-07,Dharwad,Tella Circle,Cyber Fraud,IT Act 66D,fake loan app extortion,convicted,True
FIR-2025-HAS-0734,2025-01-23,Hassan,Sampath Path,Extortion,BNS 308,digital arrest threat call,under-investigation,True
FIR-2024-VIJ-0735,2024-02-12,Vijayapur,Shah Marg,Cyber Fraud,IT Act 66D,OTP social engineering,court-pending,True
FIR-2025-BEL-0736,2025-11-13,Belagavi,Sabharwal Ganj,Rioting,BNS 191,communal flashpoint clash,court-pending,True
FIR-2025-VIJ-0737,2025-01-13,Vijayapur,Walia Nagar,Murder,BNS 103,gang rivalry,closed,True
FIR-2025-CHI-0738,2025-03-18,Chickballapura,Chaudry Nagar,Extortion,BNS 308,protection money demand,under-investigation,True
FIR-2024-DAK-0739,2024-11-30,Dakshina Kannada,Deshpande Marg,Robbery,BNS 309,ATM-exit targeting,under-investigation,True
FIR-2024-VIJ-0740,2024-11-21,Vijayapur,Kanda Chowk,NDPS,NDPS Act 20,hostel network supply,closed,True
FIR-2024-KAL-0741,2024-10-16,Kalaburagi,Rajan Road,Extortion,BNS 308,protection money demand,court-pending,True
FIR-2025-VIJ-0742,2025-09-17,Vijayapur,Ram Zila,NDPS,NDPS Act 20,hostel network supply,under-investigation,True
FIR-2024-CHI-0743,2024-10-26,Chickballapura,Maharaj Road,Burglary,BNS 331,lock-picking daytime entry,convicted,True
FIR-2025-HAS-0744,2025-04-02,Hassan,Ghosh Chowk,Cheating,BNS 318,investment ponzi scheme,court-pending,True
FIR-2025-DHA-0745,2025-05-15,Dharwad,Venkatesh Marg,Extortion,BNS 308,digital arrest threat call,under-investigation,True
FIR-2025-UDU-0746,2025-03-11,Udupi,Basu Chowk,Extortion,BNS 308,digital arrest threat call,closed,True
FIR-2024-MAN-0747,2024-12-07,Mandya,Varughese Zila,Robbery,BNS 309,ATM-exit targeting,court-pending,True
FIR-2024-RAI-0748,2024-12-05,Raichur,Savant Ganj,Cyber Fraud,IT Act 66D,UPI phishing call,closed,True
FIR-2024-BEN-0749,2024-11-04,Bengaluru City,Brar Zila,Theft,BNS 303,pickpocketing in transit,court-pending,True
FIR-2025-DHA-0750,2025-12-21,Dharwad,Bhardwaj Path,Robbery,BNS 309,ATM-exit targeting,under-investigation,True
FIR-2025-BEN-0751,2025-06-08,Bengaluru City,Jayaraman Nagar,Cheating,BNS 318,investment ponzi scheme,under-investigation,True
FIR-2024-CHI-0752,2024-10-12,Chickballapura,Chaudry Nagar,NDPS,NDPS Act 20,hostel network supply,closed,True
FIR-2024-BAL-0753,2024-01-26,Ballari,Raj,Rioting,BNS 191,communal flashpoint clash,charge-sheeted,True
FIR-2025-BAL-0754,2025-05-16,Ballari,Ramakrishnan Path,Burglary,BNS 331,terrace entry,under-investigation,True
FIR-2025-SHI-0755,2025-02-25,Shivamogga,Master Street,Theft,BNS 303,vehicle theft from parking,convicted,True
FIR-2025-HAS-0756,2025-05-26,Hassan,Ghosh Chowk,NDPS,NDPS Act 20,hostel network supply,charge-sheeted,True
FIR-2024-KOL-0757,2024-06-14,Kolar,Dhawan Street,Murder,BNS 103,personal enmity,convicted,True
FIR-2024-DHA-0758,2024-04-30,Dharwad,Tella Circle,Theft,BNS 303,pickpocketing in transit,convicted,True
FIR-2024-CHI-0759,2024-09-14,Chickballapura,Maharaj Road,Rioting,BNS 191,communal flashpoint clash,court-pending,True
FIR-2025-BEN-0760,2025-04-26,Bengaluru City,Jayaraman Nagar,Chain Snatching,BNS 304,two-wheeler drive-by snatching,convicted,True
FIR-2024-RAI-0761,2024-06-09,Raichur,Savant Ganj,Rioting,BNS 191,communal flashpoint clash,charge-sheeted,True
FIR-2025-RAI-0762,2025-07-28,Raichur,Savant Ganj,Theft,BNS 303,vehicle theft from parking,under-investigation,True
FIR-2025-BEN-0763,2025-04-29,Bengaluru City,Brar Zila,Cyber Fraud,IT Act 66D,UPI phishing call,closed,True
FIR-2024-BAG-0764,2024-02-23,Bagalkot,Rastogi Path,Robbery,BNS 309,highway vehicle stop,court-pending,True
FIR-2025-CHI-0765,2025-01-29,Chickballapura,Chaudry Nagar,Cheating,BNS 318,land document forgery,charge-sheeted,True
FIR-2025-BEL-0766,2025-12-02,Belagavi,Banik Street,Theft,BNS 303,vehicle theft from parking,court-pending,True
FIR-2025-DAK-0767,2025-01-18,Dakshina Kannada,Sankaran Chowk,Cheating,BNS 318,fake job placement racket,under-investigation,True
FIR-2024-DAV-0768,2024-02-04,Davanagere,Keer Street,Theft,BNS 303,pickpocketing in transit,charge-sheeted,True
FIR-2025-BAG-0769,2025-09-14,Bagalkot,Rastogi Path,Extortion,BNS 308,protection money demand,under-investigation,True
FIR-2025-MYS-0770,2025-10-14,Mysuru,Dhawan Ganj,Extortion,BNS 308,digital arrest threat call,under-investigation,True
FIR-2025-MYS-0771,2025-11-11,Mysuru,Keer,Rioting,BNS 191,communal flashpoint clash,under-investigation,True
FIR-2025-DAK-0772,2025-02-23,Dakshina Kannada,Sankaran Chowk,NDPS,NDPS Act 20,hostel network supply,charge-sheeted,True
FIR-2024-BEN-0773,2024-03-29,Bengaluru City,Brar Zila,Chain Snatching,BNS 304,two-wheeler drive-by snatching,convicted,True
FIR-2024-MYS-0774,2024-11-13,Mysuru,Sarna Road,Chain Snatching,BNS 304,two-wheeler drive-by snatching,convicted,True
FIR-2025-BAG-0775,2025-12-15,Bagalkot,Lad Ganj,Theft,BNS 303,shop till theft,under-investigation,True
FIR-2025-SHI-0776,2025-12-20,Shivamogga,Dewan Chowk,Chain Snatching,BNS 304,market crowd snatching,charge-sheeted,True
FIR-2024-BAG-0777,2024-07-09,Bagalkot,Lad Ganj,Robbery,BNS 309,highway vehicle stop,charge-sheeted,True
FIR-2024-DHA-0778,2024-06-11,Dharwad,Saha Nagar,Murder,BNS 103,gang rivalry,charge-sheeted,True
FIR-2025-BAG-0779,2025-03-25,Bagalkot,Rastogi Path,Murder,BNS 103,property dispute,convicted,True
FIR-2024-BAL-0780,2024-02-11,Ballari,Ramakrishnan Path,Theft,BNS 303,shop till theft,charge-sheeted,True
FIR-2025-KOL-0781,2025-09-03,Kolar,Wable Chowk,Theft,BNS 303,pickpocketing in transit,closed,True
FIR-2024-DAK-0782,2024-12-20,Dakshina Kannada,Madan Circle,Chain Snatching,BNS 304,market crowd snatching,convicted,True
FIR-2025-DAK-0783,2025-01-18,Dakshina Kannada,Deshpande Marg,Chain Snatching,BNS 304,market crowd snatching,under-investigation,True
FIR-2025-KAL-0784,2025-01-31,Kalaburagi,Bhatia Chowk,Robbery,BNS 309,highway vehicle stop,convicted,True
FIR-2025-DAK-0785,2025-08-23,Dakshina Kannada,Sarma Road,Cyber Fraud,IT Act 66D,OTP social engineering,charge-sheeted,True
FIR-2025-TUM-0786,2025-03-21,Tumakuru,Sahota,Theft,BNS 303,vehicle theft from parking,charge-sheeted,True
FIR-2024-BAG-0787,2024-04-18,Bagalkot,Kashyap Circle,NDPS,NDPS Act 20,hostel network supply,charge-sheeted,True
FIR-2025-CHI-0788,2025-12-03,Chickballapura,Maharaj Road,Chain Snatching,BNS 304,two-wheeler drive-by snatching,charge-sheeted,True
FIR-2025-RAI-0789,2025-03-10,Raichur,Amble Circle,Cyber Fraud,IT Act 66D,UPI phishing call,convicted,True
FIR-2025-MAN-0790,2025-04-16,Mandya,Varughese Zila,Extortion,BNS 308,digital arrest threat call,closed,True
FIR-2025-MYS-0791,2025-09-02,Mysuru,Sarna Road,Cyber Fraud,IT Act 66D,UPI phishing call,under-investigation,True
FIR-2025-BAG-0792,2025-08-05,Bagalkot,Kashyap Circle,NDPS,NDPS Act 20,courier parcel concealment,under-investigation,True
FIR-2025-UDU-0793,2025-03-08,Udupi,Talwar Marg,Cyber Fraud,IT Act 66D,OTP social engineering,under-investigation,True
FIR-2025-SHI-0794,2025-08-07,Shivamogga,Dewan Chowk,Burglary,BNS 331,night house-break via rear entry,convicted,True
FIR-2025-SHI-0795,2025-11-25,Shivamogga,Master Street,Chain Snatching,BNS 304,two-wheeler drive-by snatching,under-investigation,True
FIR-2024-SHI-0796,2024-08-14,Shivamogga,Ravi Marg,Burglary,BNS 331,terrace entry,court-pending,True
FIR-2024-CHI-0797,2024-06-04,Chickballapura,Sidhu Chowk,Cyber Fraud,IT Act 66D,fake loan app extortion,court-pending,True
FIR-2025-SHI-0798,2025-06-26,Shivamogga,Master Street,Robbery,BNS 309,highway vehicle stop,charge-sheeted,True
FIR-2025-BEN-0799,2025-03-17,Bengaluru City,Jayaraman Nagar,Rioting,BNS 191,protest escalation,court-pending,True
FIR-2025-BEL-0800,2025-02-09,Belagavi,Deol Street,Robbery,BNS 309,knife-point street robbery,under-investigation,True
FIR-2025-DAV-0801,2025-09-05,Davanagere,Singh Nagar,Cheating,BNS 318,land document forgery,convicted,True
FIR-2025-DAK-0802,2025-04-05,Dakshina Kannada,Sarma Road,Theft,BNS 303,vehicle theft from parking,charge-sheeted,True
FIR-2025-DHA-0803,2025-08-17,Dharwad,Saha Nagar,Cheating,BNS 318,land document forgery,charge-sheeted,True
FIR-2025-TUM-0804,2025-12-01,Tumakuru,Sahota,Extortion,BNS 308,digital arrest threat call,under-investigation,True
FIR-2025-VIJ-0805,2025-12-30,Vijayapur,Walia Nagar,Extortion,BNS 308,protection money demand,under-investigation,True
FIR-2024-TUM-0806,2024-06-12,Tumakuru,Banik Chowk,Chain Snatching,BNS 304,market crowd snatching,convicted,True
FIR-2024-MYS-0807,2024-01-25,Mysuru,Dhawan Ganj,Rioting,BNS 191,communal flashpoint clash,convicted,True
FIR-2025-BEL-0808,2025-08-16,Belagavi,Sabharwal Ganj,Theft,BNS 303,pickpocketing in transit,charge-sheeted,True
FIR-2024-BAG-0809,2024-09-23,Bagalkot,Lad Ganj,Robbery,BNS 309,ATM-exit targeting,convicted,True
FIR-2024-MAN-0810,2024-08-14,Mandya,Saran Marg,Murder,BNS 103,property dispute,convicted,True
FIR-2025-SHI-0811,2025-12-12,Shivamogga,Ravi Marg,Chain Snatching,BNS 304,two-wheeler drive-by snatching,under-investigation,True
FIR-2025-KOL-0812,2025-10-21,Kolar,Bhat Chowk,Cyber Fraud,IT Act 66D,courier scam,court-pending,True
FIR-2024-TUM-0813,2024-01-15,Tumakuru,Sahota,Cheating,BNS 318,fake job placement racket,convicted,True
FIR-2024-MYS-0814,2024-07-26,Mysuru,Sarna Road,Rioting,BNS 191,protest escalation,court-pending,True
FIR-2024-BAG-0815,2024-09-07,Bagalkot,Bala Marg,Chain Snatching,BNS 304,market crowd snatching,under-investigation,True
FIR-2025-CHI-0816,2025-08-18,Chickballapura,Maharaj Road,Rioting,BNS 191,communal flashpoint clash,under-investigation,True
FIR-2024-CHI-0817,2024-03-26,Chickballapura,Sidhu Chowk,Extortion,BNS 308,digital arrest threat call,court-pending,True
FIR-2025-DAV-0818,2025-09-07,Davanagere,Keer Street,Cheating,BNS 318,fake job placement racket,court-pending,True
FIR-2025-KOL-0819,2025-05-14,Kolar,Rau Nagar,Chain Snatching,BNS 304,two-wheeler drive-by snatching,charge-sheeted,True
FIR-2024-SHI-0820,2024-08-06,Shivamogga,Master Street,Burglary,BNS 331,lock-picking daytime entry,convicted,True
FIR-2024-KOL-0821,2024-06-09,Kolar,Rau Nagar,Burglary,BNS 331,lock-picking daytime entry,court-pending,True
FIR-2024-MAN-0822,2024-12-07,Mandya,Saran Marg,Theft,BNS 303,shop till theft,charge-sheeted,True
FIR-2025-MAN-0823,2025-02-22,Mandya,Gala Street,Murder,BNS 103,property dispute,closed,True
FIR-2025-BEN-0824,2025-01-17,Bengaluru City,Jayaraman Nagar,Theft,BNS 303,shop till theft,charge-sheeted,True
FIR-2024-CHI-0825,2024-06-13,Chickballapura,Maharaj Road,Burglary,BNS 331,night house-break via rear entry,closed,True
FIR-2024-MYS-0826,2024-04-13,Mysuru,Dhawan Ganj,Murder,BNS 103,personal enmity,closed,True
FIR-2025-TUM-0827,2025-08-10,Tumakuru,Kala Ganj,Chain Snatching,BNS 304,market crowd snatching,under-investigation,True
FIR-2025-BAG-0828,2025-01-04,Bagalkot,Bala Marg,Cyber Fraud,IT Act 66D,courier scam,under-investigation,True
FIR-2024-KOL-0829,2024-02-19,Kolar,Dhawan Street,Extortion,BNS 308,digital arrest threat call,closed,True
FIR-2025-RAI-0830,2025-08-01,Raichur,Sura,Robbery,BNS 309,ATM-exit targeting,court-pending,True
FIR-2024-BAG-0831,2024-10-10,Bagalkot,Rastogi Path,Cheating,BNS 318,land document forgery,closed,True
FIR-2025-UDU-0832,2025-09-30,Udupi,Talwar Marg,Murder,BNS 103,property dispute,under-investigation,True
FIR-2025-KAL-0833,2025-08-13,Kalaburagi,Rajan Road,Rioting,BNS 191,communal flashpoint clash,convicted,True
FIR-2025-VIJ-0834,2025-11-04,Vijayapur,Ram Zila,Burglary,BNS 331,lock-picking daytime entry,charge-sheeted,True
FIR-2024-BAG-0835,2024-05-20,Bagalkot,Kashyap Circle,Murder,BNS 103,property dispute,convicted,True
FIR-2025-UDU-0836,2025-03-25,Udupi,Badami Circle,Extortion,BNS 308,digital arrest threat call,under-investigation,True
FIR-2024-VIJ-0837,2024-11-20,Vijayapur,Kanda Chowk,Rioting,BNS 191,protest escalation,convicted,True
FIR-2025-SHI-0838,2025-01-04,Shivamogga,Sachdev Circle,Cyber Fraud,IT Act 66D,OTP social engineering,charge-sheeted,True
FIR-2024-KOL-0839,2024-05-11,Kolar,Wable Chowk,Burglary,BNS 331,night house-break via rear entry,convicted,True
FIR-2024-DAK-0840,2024-06-25,Dakshina Kannada,Sarma Road,Cheating,BNS 318,land document forgery,convicted,True
FIR-2024-UDU-0841,2024-11-09,Udupi,Basu Chowk,Burglary,BNS 331,lock-picking daytime entry,closed,True
FIR-2024-RAI-0842,2024-02-17,Raichur,Amble Circle,Cheating,BNS 318,land document forgery,convicted,True
FIR-2025-DHA-0843,2025-04-20,Dharwad,Saha Nagar,Extortion,BNS 308,protection money demand,under-investigation,True
FIR-2025-KAL-0844,2025-06-11,Kalaburagi,Rajan Road,Burglary,BNS 331,terrace entry,court-pending,True
FIR-2024-BAG-0845,2024-12-02,Bagalkot,Lad Ganj,Theft,BNS 303,vehicle theft from parking,convicted,True
FIR-2024-DAK-0846,2024-07-21,Dakshina Kannada,Sankaran Chowk,Murder,BNS 103,personal enmity,convicted,True
FIR-2024-BAG-0847,2024-08-07,Bagalkot,Lad Ganj,Extortion,BNS 308,protection money demand,court-pending,True
FIR-2025-BEL-0848,2025-11-10,Belagavi,Deol Street,Extortion,BNS 308,digital arrest threat call,convicted,True
FIR-2024-BAG-0849,2024-11-10,Bagalkot,Rastogi Path,Robbery,BNS 309,knife-point street robbery,court-pending,True
FIR-2025-BAL-0850,2025-11-27,Ballari,Ramakrishnan Path,Chain Snatching,BNS 304,market crowd snatching,under-investigation,True
FIR-2024-KOL-0851,2024-08-23,Kolar,Wable Chowk,NDPS,NDPS Act 20,street-level peddling,charge-sheeted,True
FIR-2025-DHA-0852,2025-09-16,Dharwad,Venkatesh Marg,NDPS,NDPS Act 20,courier parcel concealment,under-investigation,True
FIR-2024-BEN-0853,2024-11-03,Bengaluru City,Majumdar Street,Chain Snatching,BNS 304,two-wheeler drive-by snatching,closed,True
FIR-2024-DAK-0854,2024-05-27,Dakshina Kannada,Sarma Road,Chain Snatching,BNS 304,two-wheeler drive-by snatching,charge-sheeted,True
FIR-2024-KAL-0855,2024-10-09,Kalaburagi,Bhatia Chowk,Robbery,BNS 309,ATM-exit targeting,under-investigation,True
FIR-2024-CHI-0856,2024-04-15,Chickballapura,Sidhu Chowk,NDPS,NDPS Act 20,courier parcel concealment,court-pending,True
FIR-2024-UDU-0857,2024-02-11,Udupi,Basu Chowk,Theft,BNS 303,vehicle theft from parking,court-pending,True
FIR-2025-CHI-0858,2025-01-06,Chickballapura,Maharaj Road,Robbery,BNS 309,ATM-exit targeting,charge-sheeted,True
FIR-2025-DAV-0859,2025-11-13,Davanagere,Singh Nagar,Cheating,BNS 318,investment ponzi scheme,under-investigation,True
FIR-2025-UDU-0860,2025-07-28,Udupi,Date Path,Extortion,BNS 308,protection money demand,under-investigation,True
FIR-2024-BAG-0861,2024-02-10,Bagalkot,Rastogi Path,Burglary,BNS 331,terrace entry,court-pending,True
FIR-2024-DHA-0862,2024-10-26,Dharwad,Bhardwaj Path,Robbery,BNS 309,highway vehicle stop,convicted,True
FIR-2025-DAK-0863,2025-10-12,Dakshina Kannada,Sarma Road,Cyber Fraud,IT Act 66D,OTP social engineering,court-pending,True
FIR-2024-SHI-0864,2024-08-21,Shivamogga,Sachdev Circle,Cyber Fraud,IT Act 66D,UPI phishing call,closed,True
FIR-2024-HAS-0865,2024-12-25,Hassan,Sampath Path,Extortion,BNS 308,protection money demand,closed,True
FIR-2024-UDU-0866,2024-07-01,Udupi,Talwar Marg,NDPS,NDPS Act 20,hostel network supply,court-pending,True
FIR-2025-TUM-0867,2025-08-06,Tumakuru,Sahota,Rioting,BNS 191,protest escalation,closed,True
FIR-2025-BAL-0868,2025-05-21,Ballari,Arya Road,Murder,BNS 103,personal enmity,under-investigation,True
FIR-2025-BAG-0869,2025-05-09,Bagalkot,Rastogi Path,Burglary,BNS 331,terrace entry,court-pending,True
FIR-2025-MAN-0870,2025-01-14,Mandya,Gala Street,Cheating,BNS 318,fake job placement racket,charge-sheeted,True
FIR-2025-CHI-0871,2025-12-26,Chickballapura,Chaudry Nagar,NDPS,NDPS Act 20,hostel network supply,under-investigation,True
FIR-2025-DHA-0872,2025-08-28,Dharwad,Bhardwaj Path,Extortion,BNS 308,protection money demand,closed,True
FIR-2025-DAV-0873,2025-08-06,Davanagere,Singhal Nagar,Theft,BNS 303,shop till theft,convicted,True
FIR-2024-RAI-0874,2024-11-13,Raichur,Dugal Street,Extortion,BNS 308,digital arrest threat call,charge-sheeted,True
FIR-2024-VIJ-0875,2024-06-14,Vijayapur,Ram Zila,Cheating,BNS 318,investment ponzi scheme,closed,True
FIR-2024-MAN-0876,2024-07-06,Mandya,Gala Street,Rioting,BNS 191,protest escalation,convicted,True
FIR-2025-MYS-0877,2025-06-20,Mysuru,Keer,Robbery,BNS 309,knife-point street robbery,convicted,True
FIR-2024-BEN-0878,2024-11-09,Bengaluru City,Jayaraman Nagar,Cheating,BNS 318,investment ponzi scheme,convicted,True
FIR-2025-DAK-0879,2025-09-06,Dakshina Kannada,Madan Circle,Chain Snatching,BNS 304,two-wheeler drive-by snatching,convicted,True
FIR-2024-BEL-0880,2024-10-25,Belagavi,Deol Street,Theft,BNS 303,pickpocketing in transit,convicted,True
FIR-2025-RAI-0881,2025-11-05,Raichur,Amble Circle,Extortion,BNS 308,protection money demand,convicted,True
FIR-2024-MAN-0882,2024-02-12,Mandya,Varughese Zila,Cheating,BNS 318,fake job placement racket,closed,True
FIR-2025-RAI-0883,2025-08-11,Raichur,Amble Circle,Rioting,BNS 191,communal flashpoint clash,convicted,True
FIR-2024-CHI-0884,2024-01-25,Chickballapura,Rattan Chowk,Extortion,BNS 308,digital arrest threat call,charge-sheeted,True
